PublishDate,Sentence,Score
2018-04-02T01:44:00.000Z,創意 (3443) 隨著AI興起，NER(委託設計)產業蓬勃發展，加上有台積電先進製程撐腰，預計可以爭取到更多客戶，法人也預估，創意今年每股可賺8.48元，挑戰新高。,2
2018-04-02T01:44:00.000Z,  隨著AI的興起，帶動整體NER (委託設計)產業蓬勃發展，而創意為國內委託設計的龍頭廠商，搭配台積電 (2330) 最新先進製程，預計可以爭取到更多AI客戶，對創意營運是一大利多，法人則估計，創意今年全年營收落在8.48元，相較2017年的每股賺6.28元，明顯成長。,6
2018-04-02T01:44:00.000Z,  至於虛擬貨幣方面，因全球近期虛擬貨幣面臨崩跌危機，預期將嚴重影響到礦工挖礦意願，而創意2017年虛擬貨幣營收約占比30%，受到比特幣價格崩跌的狀況下，創意預估今年虛擬貨幣營收占比會降到15%。,-4
2018-04-02T01:44:00.000Z,  首季為創意傳統淡季，預計NER(委託設計)約為低個位數的衰退，而Turnkey部分預期會有雙位數衰退，法人預估，創意首季營收約為30.20億元，季減少17%，單季獲利落在1.8元。,-2
2018-04-04T01:34:00.000Z,市場傳出蘋果Mac電腦中央處理器要跟英特爾說掰掰！業界人士指出，蘋果若自行開發Mac的處理器，為蘋果代工晶片的台積電可說是大單在握，旗下提供設計服務支援的創意也可望分一杯羹。,3
2018-04-04T01:34:00.000Z,　一旦Mac更改成自家設計處理器，相關的WiFi網路、PCIe及USB傳輸介面、電源管理IC等都需要重新制定規格，不排除都由蘋果自行設計或與合作夥伴共同設計，台積電旗下創意可以提供委託設計（NRE）服務，市場預期也將直接受惠。,5
2018-04-02T01:44:00.000Z,創意 (3443) 隨著AI興起，NER(委託設計)產業蓬勃發展，加上有台積電先進製程撐腰，預計可以爭取到更多客戶，法人也預估，創意今年每股可賺8.48元，挑戰新高。,2
2018-04-02T01:44:00.000Z,  隨著AI的興起，帶動整體NER (委託設計)產業蓬勃發展，而創意為國內委託設計的龍頭廠商，搭配台積電 (2330) 最新先進製程，預計可以爭取到更多AI客戶，對創意營運是一大利多，法人則估計，創意今年全年營收落在8.48元，相較2017年的每股賺6.28元，明顯成長。,6
2018-04-02T01:44:00.000Z,  至於虛擬貨幣方面，因全球近期虛擬貨幣面臨崩跌危機，預期將嚴重影響到礦工挖礦意願，而創意2017年虛擬貨幣營收約占比30%，受到比特幣價格崩跌的狀況下，創意預估今年虛擬貨幣營收占比會降到15%。,-4
2018-04-02T01:44:00.000Z,  首季為創意傳統淡季，預計NER(委託設計)約為低個位數的衰退，而Turnkey部分預期會有雙位數衰退，法人預估，創意首季營收約為30.20億元，季減少17%，單季獲利落在1.8元。,-2
2018-04-04T01:34:00.000Z,市場傳出蘋果Mac電腦中央處理器要跟英特爾說掰掰！業界人士指出，蘋果若自行開發Mac的處理器，為蘋果代工晶片的台積電可說是大單在握，旗下提供設計服務支援的創意也可望分一杯羹。,3
2018-04-04T01:34:00.000Z,　一旦Mac更改成自家設計處理器，相關的WiFi網路、PCIe及USB傳輸介面、電源管理IC等都需要重新制定規格，不排除都由蘋果自行設計或與合作夥伴共同設計，台積電旗下創意可以提供委託設計（NRE）服務，市場預期也將直接受惠。,5
