PublishDate,Sentence,Score
2017-02-02T23:06:00.000Z,MoneyDJ新聞 2017-02-03 07:06:06 記者 蔡承啟 報導南韓三星電子將Galaxy Note 7爆炸起火的原因定調為「電池缺陷」，且兩家電池供應商---三星SDI和TDK旗下香港子公司Amperex Technology Limited(ATL))都有問題，也讓市場高度關注預計今年春天開賣的次代旗艦機種Galaxy S8電池究竟會由哪家廠商供應，日前也傳出三星將找南韓市場死對頭LG供應電池。,-6
2017-02-02T23:06:00.000Z,MoneyDJ新聞 2017-02-03 07:06:06 記者 蔡承啟 報導南韓三星電子將Galaxy Note 7爆炸起火的原因定調為「電池缺陷」，且兩家電池供應商---三星SDI和TDK旗下香港子公司Amperex Technology Limited(ATL))都有問題，也讓市場高度關注預計今年春天開賣的次代旗艦機種Galaxy S8電池究竟會由哪家廠商供應，日前也傳出三星將找南韓市場死對頭LG供應電池。,-6
2017-02-08T06:16:00.000Z,MoneyDJ新聞 2017-02-08 14:16:59 記者 蔡承啟 報導三星電子曾於去年11月宣布，次代旗艦智慧手機Galaxy S8將搭載活用AI人工智慧的助理服務。,2
2017-02-08T02:11:00.000Z,"MoneyDJ新聞 2017-02-08 10:11:19 記者 蔡承啟 報導全球再生晶圓大廠RS Technologies 7日於日股盤後發布新聞稿宣布，因台灣子公司「RSTEC Semiconductor Taiwan Co., LTD.(艾爾斯半導體股份有限公司、見附圖)」台南工廠以及日本三本木工廠稼動率(產能利用率)走升，加上受惠日圓走貶，故2016年度(2016年1-12月)合併營收目標自原先預估的77.4億日圓上修至88.49億日圓(將年增60%)、合併營益目標自15.31億日圓上修至15.57億日圓(將年增44%)、合併純益目標也自7.42億日圓上修至8.69億日圓(將年增186%)。",1
2017-02-15T01:08:00.000Z,MoneyDJ新聞 2017-02-15 09:08:42 記者 蔡承啟 報導全球再生晶圓大廠RS Technologies 14日於日股盤後公布上年度(2016年1-12月)財報：因12吋/8吋晶圓供需緊繃，台灣台南工廠於上季進入產能全開狀態，提振合併營收年增59.6%至88.49億日圓、合併營益大增44.1%至15.57億日圓、經常利益(本業獲利+業外獲利)大增54.7%至歷史新高的14.5億日圓。,5
2017-02-16T02:22:00.000Z,MoneyDJ新聞 2017-02-16 10:22:17 記者 蔡承啟 報導蘋果(Apple)盛傳將在今年推出3款iPhone新機，包含4.7吋iPhone 7s、5.5吋iPhone 7s Plus以及一款搭載OLED面板的iPhone 8。,1
2017-02-17T23:11:00.000Z,MoneyDJ新聞 2017-02-18 07:11:02 記者 蔡承啟 報導蘋果(Apple)iPhone「印度製造」流傳已久，日前也有印度官員宣布蘋果將在印度製造iPhone。,0
2017-02-23T06:00:00.000Z,MoneyDJ新聞 2017-02-23 14:00:15 記者 蔡承啟 報導南韓三星電子預計3月發表的旗艦智慧手機Galaxy S8系列機種背負著重振因Note 7爆炸而受挫的品牌形象的重責大任。,0
2017-02-24T05:48:00.000Z,MoneyDJ新聞 2017-02-24 13:48:36 記者 蔡承啟 報導東芝(Toshiba)曾於1月27日宣佈，以NAND型快閃記憶體(Flash Memory)為主軸的記憶體事業(含SSD事業、不含影像感測器)將分拆出去、成立一家半導體新公司。,0
2017-02-24T05:48:00.000Z,MoneyDJ新聞 2017-02-24 13:48:36 記者 蔡承啟 報導東芝(Toshiba)曾於1月27日宣佈，以NAND型快閃記憶體(Flash Memory)為主軸的記憶體事業(含SSD事業、不含影像感測器)將分拆出去、成立一家半導體新公司。,0
