PublishDate,Sentence,Score
2017-09-29T13:12:00.000Z,（中央社記者潘智義台北2017年9月29日電）晶圓代工龍頭台積電 (2330) 宣布，3奈米製程新廠落腳南部科學園區台南園區。,0
2017-09-29T13:06:00.000Z,（中央社記者張建中新竹2017年9月29日電）台積電 (2330) 3奈米製程新廠確定落腳南科台南園區，產業專家認為，政府應可趁機吸引國際一線半導體產業生態系業者朝台灣挪移。,3
2017-09-29T13:06:00.000Z,台積電3奈米製程新廠設廠地點拍板定案，擇定於南部科學工業園區台南園區，投資金額將達新台幣5000億元，預計2022年量產。,2
2017-09-29T11:14:00.000Z,（中央社記者張建中新竹2017年9月29日電）台積電 (2330) 3奈米製程新廠確定落腳南科台南園區，3奈米製程技術預計2022年量產，成為全球首家公開宣布投資3奈米的半導體廠，全球晶圓代工龍頭地位料將更加穩固。,7
2017-09-29T10:25:00.000Z,晶圓代工廠台積電3奈米製程新廠確定留在台灣，落腳南部科學工業園區台南園區，這樁投資案也是全球第一宗宣布的3奈米投資規畫，領先競爭對手韓國三星與美國英特爾。,1
2017-09-29T09:08:00.000Z,（中央社記者張建中新竹2017年9月29日電）晶圓代工廠台積電 (2330) 3奈米製程新廠確定留在台灣，落腳南部科學工業園區台南園區，這樁投資案也是全球第一宗宣布的3奈米投資規畫，領先競爭對手韓國三星與美國英特爾。,1
2017-09-29T09:08:00.000Z,眾所關注的台積電3奈米製程新廠設廠地點正式拍板定案，台積電今天宣布，經審慎評估後，擬投資興建的3奈米製程新廠，將擇定於南部科學工業園區台南園區，南科也可望因此案成為全球半導體先進製程的重鎮。,4
2017-09-29T09:08:00.000Z,台積電指出，在南科台南園區興建3奈米製程新廠，將可充分發揮在該園區既有的完整聚落與供應鏈優勢；除3奈米新廠，台積電目前晶圓6廠與14廠也都位於南科。,4
2017-09-29T09:03:00.000Z,至於台積電的部份，則在今日公開表示，經審慎評估後，擬投資興建的三奈米先進製程新廠，確定落腳南部科學工業園區台南園區，同時台積電官方也對於政府明確承諾解決包含土地、用水、供電、環保等相關議題，公開表示肯定與感謝。,11
2017-09-29T08:48:00.000Z,台積電 (2330) 持續積極推進先進製程，正式宣布3奈米製程新廠將設於南部科學工業園區台南園區，以持續發揮公司在該園區的完整聚落優勢。,6
2017-09-29T08:48:00.000Z,  台積公司今（29）日表示，經審慎評估後，擬投資興建的3奈米先進製程新廠，將擇定於南部科學工業園區台南園區，以持續充分發揮公司在該園區既有的完整聚落與供應鏈優勢。,6
2017-09-29T08:29:00.000Z,公開資訊觀測站重大訊息公告(2330)台積電-台積公司三奈米製程新廠將設於南部科學工業園區台南園區1.事實發生日:106/09/292.公司名稱:台灣積體電路製造股份有限公司。,2
2017-09-29T08:29:00.000Z,7.其他應敘明事項:台積公司今（29）日表示，經審慎評估後，本公司擬投資興建的三奈米先進製程新廠，將擇定於南部科學工業園區台南園區，以持續充分發揮本公司在該園區既有的完整聚落與供應鏈優勢。,6
2017-09-29T08:25:00.000Z,（中央社記者張建中新竹2017年9月29日電）晶圓代工廠台積電 (2330) 3奈米製程新廠設廠地點正式拍板定案，將落腳南科台南園區。,1
2017-09-29T08:25:00.000Z,台積電今天表示，經審慎評估後，擬投資興建的3奈米製程新廠，將擇定於南部科學工業園區台南園區。,2
2017-09-29T08:25:00.000Z,台積電指出，在南科台南園區興建3奈米製程新廠，將可充分發揮在該園區既有的完整聚落與供應鏈優勢。,4
2017-09-29T08:23:00.000Z,台積電 (2330) 今（29）日表示，經審慎評估後，擬投資興建的三奈米先進製程新廠，將擇定於南部科學工業園區台南園區，以持續充分發揮在該園區既有的完整聚落與供應鏈優勢。,6
2017-09-29T08:16:00.000Z,台積公司三奈米製程新廠將設於南部科學工業園區台南園區1.事實發生日:106/09/292.公司名稱:台灣積體電路製造股份有限公司。,0
2017-09-29T08:16:00.000Z,7.其他應敘明事項:台積公司今（29）日表示，經審慎評估後，本公司擬投資興建的三奈米先進製程新廠，將擇定於南部科學工業園區台南園區，以持續充分發揮本公司在該園區既有的完整聚落與供應鏈優勢。,6
2017-09-30T07:09:00.000Z,　台積電 (2330) 宣布先進製程3奈米新廠將落腳南科台南園區，今日股價開高一度觸及月線，帶動供應鏈家登 (3680) 、辛耘 (3583) 聞訊大漲；其餘蘋果鏈大立光 (3008) 、鴻海 (2317) 及可成 (2474) 同步轉強，帶動玉晶光 (3406) 、佳凌 (4976) 及亞光 (3008) 等光學元件股止跌反彈；MOSFET恐缺到2018年，概念股尼克森 (3317) 、富鼎 (8261) 雙雙走揚，成IC設計族群強勢指標；光通訊族群受惠陸GPON市場Q3急速加溫，華星光 (4979) 、光環 (3234) 、波若威 (3163) 漲聲響起。,7
2017-09-30T06:13:00.000Z,台積電 (2330) 3奈米新廠確定落腳南部科學工業園區台南園區，台積電股價開高，達218元，漲1.5元，因外資休假影響，終場以平盤作收。,2
2017-09-30T03:15:00.000Z,台積電 (2330) 3奈米新廠確定落腳南部科學工業園區台南園區，化解國內產業出走疑慮，還可望促進產業投資，台積電今天股價走揚，一度達218.5元，並帶動漢唐 (2404) 等無塵室與半導體設備廠股價連袂走高。,4
2017-09-30T01:45:00.000Z,台積電 (2330) 宣布先進製程3奈米新廠將落腳南科台南園區，股價開高1.5元為218元。,0
2017-09-30T01:45:00.000Z,  台積電持續積極推進先進製程，周五下午正式宣布3奈米製程新廠將設於南部科學工業園區台南園區，以持續發揮公司在該園區的完整聚落與供應鏈優勢。,6
2017-09-30T01:45:00.000Z,  台積電今年下半年大量產出10奈米，預計明年開始量產7奈米，生產重心均放在中科園區；下世代製程的5奈米預計2019年試產，2020年量產，5奈米已確定將在南科台南園區建廠生產。,3
2017-09-30T01:45:00.000Z,3奈米製程新廠也將設在南科台南園區，為最早宣布3奈米投資規畫的半導體大廠，預計量產時間點大致在2022年。,2
2017-09-30T01:22:00.000Z,（中央社記者張建中新竹2017年9月30日電）台積電 (2330) 3奈米新廠確定落腳南部科學工業園區台南園區，今天股價開盤跳空漲新台幣1.5元，漢唐 (2404) 與京鼎 (3413) 等無塵室與半導體設備廠股價也同步走高。,3
2017-09-30T01:22:00.000Z,台積電決定在南科台南園區投資3奈米製程新廠，投資金額將達5000億元，預計2022年量產。,3
2017-09-30T00:12:00.000Z,除美光等半導體股股價不斷攀高，晶圓代工龍頭廠台積電 (2330) 3奈米新廠確定落腳南部科學工業園區台南園區，市場看好，包括漢唐 (2404) 、盟立 (2464) 、京鼎 (3413) 與創意 (3443) 可望受惠。,3
2017-09-30T07:09:00.000Z,　台積電 (2330) 宣布先進製程3奈米新廠將落腳南科台南園區，今日股價開高一度觸及月線，帶動供應鏈家登 (3680) 、辛耘 (3583) 聞訊大漲；其餘蘋果鏈大立光 (3008) 、鴻海 (2317) 及可成 (2474) 同步轉強，帶動玉晶光 (3406) 、佳凌 (4976) 及亞光 (3008) 等光學元件股止跌反彈；MOSFET恐缺到2018年，概念股尼克森 (3317) 、富鼎 (8261) 雙雙走揚，成IC設計族群強勢指標；光通訊族群受惠陸GPON市場Q3急速加溫，華星光 (4979) 、光環 (3234) 、波若威 (3163) 漲聲響起。,7
2017-09-30T06:13:00.000Z,台積電 (2330) 3奈米新廠確定落腳南部科學工業園區台南園區，台積電股價開高，達218元，漲1.5元，因外資休假影響，終場以平盤作收。,2
2017-09-30T03:15:00.000Z,台積電 (2330) 3奈米新廠確定落腳南部科學工業園區台南園區，化解國內產業出走疑慮，還可望促進產業投資，台積電今天股價走揚，一度達218.5元，並帶動漢唐 (2404) 等無塵室與半導體設備廠股價連袂走高。,4
2017-09-30T01:45:00.000Z,台積電 (2330) 宣布先進製程3奈米新廠將落腳南科台南園區，股價開高1.5元為218元。,0
2017-09-30T01:45:00.000Z,  台積電持續積極推進先進製程，周五下午正式宣布3奈米製程新廠將設於南部科學工業園區台南園區，以持續發揮公司在該園區的完整聚落與供應鏈優勢。,6
2017-09-30T01:45:00.000Z,  台積電今年下半年大量產出10奈米，預計明年開始量產7奈米，生產重心均放在中科園區；下世代製程的5奈米預計2019年試產，2020年量產，5奈米已確定將在南科台南園區建廠生產。,3
2017-09-30T01:45:00.000Z,3奈米製程新廠也將設在南科台南園區，為最早宣布3奈米投資規畫的半導體大廠，預計量產時間點大致在2022年。,2
2017-09-30T01:22:00.000Z,（中央社記者張建中新竹2017年9月30日電）台積電 (2330) 3奈米新廠確定落腳南部科學工業園區台南園區，今天股價開盤跳空漲新台幣1.5元，漢唐 (2404) 與京鼎 (3413) 等無塵室與半導體設備廠股價也同步走高。,3
2017-09-30T01:22:00.000Z,台積電決定在南科台南園區投資3奈米製程新廠，投資金額將達5000億元，預計2022年量產。,3
2017-09-30T00:12:00.000Z,除美光等半導體股股價不斷攀高，晶圓代工龍頭廠台積電 (2330) 3奈米新廠確定落腳南部科學工業園區台南園區，市場看好，包括漢唐 (2404) 、盟立 (2464) 、京鼎 (3413) 與創意 (3443) 可望受惠。,3
