PublishDate,Sentence,Score
2018-02-02T08:12:00.000Z,　《經濟日報》報導，IC設計業界近來傳出，比特大陸去年下半年在台設立據點，公司就在竹科外圍，並開出比一線IC設計大廠還高的薪水，積極挖角聯發科 (2454) 、晨星、創意 (3443) 等員工，鎖定客製化晶片(ASIC)及人工智慧領域菁英。,4
2018-02-02T07:51:00.000Z,創意 (3443) 今(2)日舉辦法人說明會，總經理陳超乾表示，創意今年對積極鍛鍊「兩塊肌肉」，包括ASIC(客製化晶片)以及12奈米、7奈米的專業人才，今年還會再增加逾百位員工，他強調，創意很贊成母公司台積電 (2330) 對今年營運成長的看法，且因為創意專注高速運算，是台積電看好成長幅度領先的區塊，所以看好創意今年有機會挑戰比台積電更高的成長表現。,7
2018-02-02T07:51:00.000Z,  就整年度來說，創意很贊成台積電的看法，台積電預估今年整體有10~15%的成長，台積電看好今年成長聚焦在車用、IoT、行動運算等以及AI高速運算，而創意則是聚焦在高速運算，此區塊又是台積電看好存在高成長幅度的，換句話說，創意可能挑戰比台積電更高的成長幅度，整體營運狀況看來，他指出，創意今年會比去年更好，毛利率也會較去年繼續成長，營收比重來看上半年約落在45%，下半年則約50~55%。,2
2018-02-02T07:51:00.000Z,  陳超乾則表示，創意要在業界做到領先的角色，服務所有系統客戶，創意今年最首要任務就是要積極鍛鍊「兩塊肌肉」，來幫助營運再成長，首先，就是因為ASIC目前看來市場非常旺盛，相關服務商機很大，會繼續找人才，再者，就是12奈米、7奈米的產品上做到更好，也會持續增才，去年年初創意員工約500名，今年已經增加到120位，預計明年整體還會再增加到700多位。,6
2018-02-02T07:51:00.000Z,  談到目前當紅的比特幣，陳超乾則表示，由於風險較大，創意預計今年比特幣營收占比會從30%降到15%，因為比特幣在設計上是屬於最低階層的設計，客戶一開始委託創意，但後來就會以自己生產的能力，目前反倒是看好AI(人工智慧)、M2M(機器對機器)高速運算領域，但強調，非常看好NRE的出貨，成長幅度上看50%。,4
2018-02-02T08:12:00.000Z,　《經濟日報》報導，IC設計業界近來傳出，比特大陸去年下半年在台設立據點，公司就在竹科外圍，並開出比一線IC設計大廠還高的薪水，積極挖角聯發科 (2454) 、晨星、創意 (3443) 等員工，鎖定客製化晶片(ASIC)及人工智慧領域菁英。,4
2018-02-02T07:51:00.000Z,創意 (3443) 今(2)日舉辦法人說明會，總經理陳超乾表示，創意今年對積極鍛鍊「兩塊肌肉」，包括ASIC(客製化晶片)以及12奈米、7奈米的專業人才，今年還會再增加逾百位員工，他強調，創意很贊成母公司台積電 (2330) 對今年營運成長的看法，且因為創意專注高速運算，是台積電看好成長幅度領先的區塊，所以看好創意今年有機會挑戰比台積電更高的成長表現。,7
2018-02-02T07:51:00.000Z,  就整年度來說，創意很贊成台積電的看法，台積電預估今年整體有10~15%的成長，台積電看好今年成長聚焦在車用、IoT、行動運算等以及AI高速運算，而創意則是聚焦在高速運算，此區塊又是台積電看好存在高成長幅度的，換句話說，創意可能挑戰比台積電更高的成長幅度，整體營運狀況看來，他指出，創意今年會比去年更好，毛利率也會較去年繼續成長，營收比重來看上半年約落在45%，下半年則約50~55%。,2
2018-02-02T07:51:00.000Z,  陳超乾則表示，創意要在業界做到領先的角色，服務所有系統客戶，創意今年最首要任務就是要積極鍛鍊「兩塊肌肉」，來幫助營運再成長，首先，就是因為ASIC目前看來市場非常旺盛，相關服務商機很大，會繼續找人才，再者，就是12奈米、7奈米的產品上做到更好，也會持續增才，去年年初創意員工約500名，今年已經增加到120位，預計明年整體還會再增加到700多位。,6
2018-02-02T07:51:00.000Z,  談到目前當紅的比特幣，陳超乾則表示，由於風險較大，創意預計今年比特幣營收占比會從30%降到15%，因為比特幣在設計上是屬於最低階層的設計，客戶一開始委託創意，但後來就會以自己生產的能力，目前反倒是看好AI(人工智慧)、M2M(機器對機器)高速運算領域，但強調，非常看好NRE的出貨，成長幅度上看50%。,4
2018-02-05T07:04:00.000Z,比特幣(Bitcoin)利空連環爆，價格一度只剩下歷史高點的一半，相關概念股重摔一地，創意 (3443) 收跌3.6%，世芯-KY (3661) 更是重挫7%。,-4
2018-02-06T07:07:00.000Z,GIS-KY (6456) 、TPK-KY (3673) 、欣興 (3037) 、國巨 (2327) 、華邦電 (2344) 、玉晶光 (3406) 、亞光 (3019) 、全新 (2455) 、台勝科 (3532) 、燿華 (2367) 、創意 (3443) 等，主要權值股以及本波強勢題材股，都觸及跌停。,-2
2018-02-06T05:44:00.000Z,　台股今日大跌行情，包含大立光、GIS-KY (6456) 、TPK-KY (3673) 、欣興 (3037) 、國巨 (2327) 、華邦電 (2344) 、玉晶光 (3406) 、亞光 (3019) 、全新 (2455) 、康控-KY (4943) 、智原 (3035) 、京鼎 (3413) 、禾伸堂 (3026) 、台勝科 (3532) 、燿華 (2367) 、創意 (3443) 等，主要權值股以及本波強勢題材股，今日盤中低點都觸及跌停。,-2
2018-02-21T07:12:00.000Z,此外，比特幣在年假期間成功站回10000美元大關，並一度逼近12000美元，帶動今日比特幣晶片概念股創意 (3443) 、世芯-KY (3661) 強登漲停。,4
2018-02-21T01:44:00.000Z,比特幣在年假期間成功站回10000美元大關，甚至一度逼近12000美元，可說是從2月初的近期低位反彈近一倍，主要原因預計為韓國金融監管機構對於加密貨幣的態度出現鬆動，也帶動今日比特幣晶片概念股創意 (3443) 一度大漲近8%、世芯-KY (3661) 漲幅約7.5%。,4
2018-02-21T01:44:00.000Z,  創意是具有優異的ASIC(客製化晶片)的能力，是比特幣「挖礦」重要概念股，惟創意指出，因比特幣市場風險較高，故今年將保守預估此貢獻，全年營收貢獻比重預計將從去年的30%降到15%，且因為比特幣在ASIC領域屬於較低較的產品，創意今年還是將主力擺在高速傳輸(HPC)方面，其毛利率貢獻高，加上創意又有台積電 (2330) 撐腰，創意也預估今年整體成長幅度將高於15%。,2
