PublishDate,Sentence,Score
2018-07-03T04:04:00.000Z,創意 (3443) 有鑑於加密貨幣持續朝向先進製程，且人工智慧(AI)領域也已經鎖定多個主要市場，加上有台積電 (2330) 在晶圓上當後盾，創意可望挾這波AI大勢崛起，注入一股營運成長動力。,2
2018-07-03T04:04:00.000Z,  創意估計2018年來自加密貨幣的營收占比約15%，相較於2016年的28%比重降低，創意2017年加密貨幣應用營收僅有turnkey(設計轉成品)的部分，相關NRE營收在2016年認列，且轉換率高達10倍，今年創意將從加密貨幣處創造出更多NRE(委託設計)營收，主要是相關晶片製程正在從12奈米升級到7奈米，此外，創意估計今年來自NRE的營收年成長上看50%，且比特幣相關NRE專案也轉入量產。,4
2018-07-03T04:04:00.000Z,  創意全力搶攻人工智慧商機，期望其在未來長線可以扮演重要營運成長動能，創意估計未來幾年內在人工智慧TAM與SAM部分，將呈現雙位數成長的複合式成長，創意已經涵蓋從美國、以色列以及大陸等鎖定人工智慧的客戶，但這些計畫都還在NRE階段，並且量產時間最快也必須等到2019年。,8
2018-07-03T04:04:00.000Z,  另外，創意近期就策略進行調整，開始投入SoC(系統單晶片)的設計，有利於可以提供更多IC設計的前端服務，由此創意將具備規格設計的能力，也將提供更有條件募集系統廠成為客戶。,4
2018-07-04T07:06:00.000Z,　比特幣挖礦機重鎮四川受洪患重創，市場看好可望掀起一波新急單，今日由台積電 (2330) 開香檳展開慶祝行情，帶動創意 (3443) 同步走高，撼訊 (6150) 、映泰 (2399) 及青雲 (5386) 等強鎖漲停。,7
2018-07-04T02:47:00.000Z,（中央社記者張建中新竹2018年7月4日電）中國大陸比特幣挖礦重鎮四川近期遭受暴雨重創，市場看好將掀起一波挖礦機急單，激勵台積電 (2330) 與創意 (3443) 股價同步走揚。,2
2018-07-04T02:47:00.000Z,市場預料將掀起一波挖礦機急單，並看好挖礦機晶片代工廠台積電營運可望受惠，將為第3季業績注入動能；IC設計服務廠創意的比特幣特殊應用(ASIC)業務也將同步受惠。,3
2018-07-04T02:47:00.000Z,台積電與創意今天股價都有不錯表現，台積電盤中股價一度達新台幣217.5元，漲3元，漲幅約1.4%；創意也一度達280.5元，漲12元，漲幅達4.47%。,3
2018-07-03T04:04:00.000Z,創意 (3443) 有鑑於加密貨幣持續朝向先進製程，且人工智慧(AI)領域也已經鎖定多個主要市場，加上有台積電 (2330) 在晶圓上當後盾，創意可望挾這波AI大勢崛起，注入一股營運成長動力。,2
2018-07-03T04:04:00.000Z,  創意估計2018年來自加密貨幣的營收占比約15%，相較於2016年的28%比重降低，創意2017年加密貨幣應用營收僅有turnkey(設計轉成品)的部分，相關NRE營收在2016年認列，且轉換率高達10倍，今年創意將從加密貨幣處創造出更多NRE(委託設計)營收，主要是相關晶片製程正在從12奈米升級到7奈米，此外，創意估計今年來自NRE的營收年成長上看50%，且比特幣相關NRE專案也轉入量產。,4
