PublishDate,Sentence,Score
2018-01-25T07:12:00.000Z,　電子股方面，以低基期個股較有表現，聯電 (2303) 法說捎來Q1展望不淡消息帶動股價走高，友達 (2409) 獲外資力挺躍升台股成交量之冠，蘋果三雄大立光 (3008) 、台積電 (2330) 、鴻海 (2317) 同步熄火壓抑大盤表現；二線光學股在亞光 (3019) 點火帶動下，今國光 (6209) 、揚明光 (3504) 等同步走揚；IC設計族群在世芯-KY (3661) 漲停鼓舞下，智原 (3035) 、凌陽 (2401) 、揚智 (3041) 等跟進走高。,10
2018-01-25T03:02:00.000Z,  股王大立光的回穩，帶動二線光學股走揚，亞光 (3019) 傳打入亞馬遜供應鏈，今股價勁揚，收復所有均線，揚明光 (3504) 今法說登場，市場率先看好今年業績表現，股價大漲約5%，大學光 (3218) 儘管遭列警示股，仍獲買盤進駐，帶動股價站上近3年高點；IC設計族群也為今強勢指標之一，龍頭聯發科 (2454) 一度上漲1.5%，聯家軍智原 (3035) 續揚大漲逾3.5%，世芯-KY (3661) 攻上漲停，凌陽 (2401) 、揚智 (3041) 等也順勢大漲。,9
2018-01-26T07:13:00.000Z,　台積電 (2330) 5奈米晶圓18廠今日動土，惟多頭不買單股價持續下修，打擊多頭士氣，股王大立光 (3008) 擺脫探底陰霾反彈逾2%，鴻海 (2317) 則止跌回穩收在平盤；記憶體族群因DRAM市況持續穩健，南亞科 (2408) 、華邦電 (2344) 雙雙勁揚；挖礦概念股人氣火紅，曜越 (3540) 、撼訊 (6150) 亮燈漲停，華擎 (3515) 、雙鴻 (3324) 、麗臺 (2465) 同步走高；AI概念股持續發燒，智原 (3035) 率先攻頂，帶動原相 (3227) 、凌陽 (2401) 、鈺創 (5351) 、創意 (3443) 等同步飆高。,3
2018-01-29T07:08:00.000Z,　台股今日由雙王大立光 (3008) 、台積電 (2330) 扮領頭羊，二線光學族群受到大立光走高鼓舞，揚明光 (3504) 、亞光 (3019) 同步大漲，觸控雙雄GIS-KY (6456) 和TPK-KY (3673) 重回iPhone供應鏈激勵股價雙雙強彈；IC設計族群在聯家軍智原 (3035) 強勢衝高領軍下，矽統 (2363) 、新唐 (4919) 聯袂漲停表現相對強勢；任天堂遊戲機Switch全球賣翻天，原相 (3227) 、威盛 (2388) 樂開懷。,13
2018-01-29T07:04:00.000Z,  而IC設計族群是今日熱門族群，其中以聯家軍表現最為搶眼，矽統 (2363) 盤中漲停鎖死、智原 (3035) 也一度亮燈漲停、盛群 (6202) 也大漲7%作收。,3
2018-01-29T03:17:00.000Z,  IC設計族群也是今強勢指標之一，龍頭聯發科 (2454) 力守平盤之上，聯家軍智原 (3035) 持續走強，大漲7%；矽統 (2363) 、威盛 (2388) 爆量攻漲停、新唐 (4919) 也順勢大漲8%。,5
2018-01-29T01:45:00.000Z,  20.智原 (3035) ：NRE接單看增帶動今年業績俏，早盤不畏列注意股，暴1.8萬張量能續漲逾4%，再刷新高價。,4
2018-01-31T02:12:00.000Z,　　此外，GLOBALFOUNDRIES與聯電(2303)也有生產比特幣挖礦用ASIC晶片，但因為現在很多大型挖礦公司都能自行開發設計ASIC晶片，因此聯電雖有以14奈米產出，但相關訂單並非透過外傳的智原(3035)而來的。,3
2018-01-31T02:06:00.000Z,  20.智原 (3035) ：去年賺8.36億元、創5年新高，惟昨遭三大法人聯手賣超1504張，早盤股價一度下探76.1元，回測5日線。,-1
2018-01-31T02:12:00.000Z,　　此外，GLOBALFOUNDRIES與聯電(2303)也有生產比特幣挖礦用ASIC晶片，但因為現在很多大型挖礦公司都能自行開發設計ASIC晶片，因此聯電雖有以14奈米產出，但相關訂單並非透過外傳的智原(3035)而來的。,3
2018-01-31T02:06:00.000Z,  20.智原 (3035) ：去年賺8.36億元、創5年新高，惟昨遭三大法人聯手賣超1504張，早盤股價一度下探76.1元，回測5日線。,-1
