PublishDate,Sentence,Score
2017-04-05T03:29:00.000Z,不過，他說，目前盤勢看來偏正面，但若量能無法持續，不排除指數仍在區間整理，在特定買盤做多情況，接下來幾天量能將是觀察重點。,0
2017-04-05T03:29:00.000Z,他坦言，拉抬權值股，偏好中小型股的一般散戶未必賺得到錢。,1
2017-04-04T23:52:00.000Z,"英國FTSE 100指數4日上漲39.13點或0.54%、收7,321.82點。",1
2017-04-04T23:52:00.000Z,"法國CAC指數4日漲15.22點或0.30%、收5,101.13點。",1
2017-04-04T23:52:00.000Z,MarketWatch報導，德意志銀行將英國石油(BP)投資評等自「觀望」升至「買進」。,3
2017-04-04T23:52:00.000Z,BP 4日收漲1.66%，Total SA、Royal Dutch Shell PLC分別收漲1.67%、1.01%。,1
2017-04-04T23:52:00.000Z,4月3日放量暴跌61.6%的英國GPU IP大廠Imagination Technologies Group PLC 4日反彈12.86%、收116.25便士。,-2
2017-04-04T23:52:00.000Z,CNBC報導，投資銀行Jefferies 4日指出，蘋果(Apple Inc.)可能出手併購Imagination。,1
2017-04-04T23:52:00.000Z,英國GPU IP大廠Imagination 3日發布公告表示，最大客戶蘋果告知將在15個月至兩年內停止使用集團智慧財產權。,2
2017-04-04T23:52:00.000Z,Imagination的GPU IP廣泛應用於蘋果手機、平板、iPod、電視機上盒以及手錶。,0
2017-04-04T23:52:00.000Z,內嵌無線解決方案產業領導廠商Laird PLC 4日上漲0.68%、收147.50便士；過去一年跌幅高達49.38%。,2
2017-04-04T23:52:00.000Z,Laird去年10月19日暴跌48.65%、創史上最大跌幅，迄今仍無法完全收復當日失土，主因為當時公司表示史無前例的降價壓力令毛利面臨壓力。,-6
2017-04-04T23:52:00.000Z,歐洲三大車廠雷諾(Renault SA)、戴姆勒(Daimler AG)以及寶獅(Peugeot SA)分別下跌1.45%、1.04%以及0.97%。,-2
2017-04-04T23:52:00.000Z,西班牙人民銀行(Banco Popular Espanol SA)4日下跌1.23%、兩天累計下跌12.1%。,-2
2017-04-04T23:52:00.000Z,巴克萊(Barclays PLC)、法國興業銀行(Societe Generale Group)、德國商業銀行(Commerzbank AG)4日分別收跌1.67%、1.33%以及1.20%。,-2
2017-04-04T23:52:00.000Z,＊編者按：本文僅供參考之用，並不構成要約、招攬或邀請、誘使、任何不論種類或形式之申述或訂立任何建議及推薦，讀者務請運用個人獨立思考能力，自行作出投資決定，如因相關建議招致損失，概與《精實財經媒體》、編者及作者無涉。,2
2017-04-04T23:08:00.000Z,和前月相比，只有亞太/其他地區成長0.5%，其他地區均小幅萎縮。,0
2017-04-04T22:22:00.000Z,報導指出，上述訂單數量符合IHS Markit資深主管謝勤益(David Hsieh)的預估。,1
2017-04-04T22:22:00.000Z,"報導指出，預計今年推出的次代iPhone將有3款，其中4.7吋、5.5吋機種將持續採用液晶面板，iPhone 8將採5.2吋OLED面板、且該款OLED版機種售價預估達1,000美元以上，而據熟知iPhone設計的業內人士透露，該3款機種都將具備防水功能，且都將支援無線充電、但供應商目前似乎尚未解決機身過熱問題(供應商目前仍在研發防止過熱的技術)。",0
2017-04-04T22:22:00.000Z,該業內人士並指出，3款新iPhone中至少有1款將搭載可進行臉部辨識的3D感測器，且OLED版iPhone 8將廢除物理性Home鍵、而另2款將保留物理性Home鍵。,1
2017-04-04T22:22:00.000Z,郭明錤指出，iPhone 8前置相機系統除現有的前置相機模組之外，還將追加紅外線發送模組以及紅外線接收模組，藉此可進行臉部辨識、虹膜辨識，且可進行3D自拍(3D selfies、可拍攝立體的自拍照)。,2
2017-04-04T22:22:00.000Z,日本網站CoRRiENTE.top、iPhone Mania、taisy.0 3月21日轉述韓媒ETNews的報導指出，據業界消息人士透露，今年為首代iPhone問世來第10週年，而為了向首代iPhone致敬，蘋果預計今年推出的高階版機種iPhone 8背面將採用和首代iPhone一樣的「水滴設計」。,0
2017-04-04T22:22:00.000Z,報導指出，iPhone 8背面將採用邊緣部分呈現彎曲的3D玻璃，因此和現行iPhone 7的鋁製機殼相比，iPhone 8背面的邊緣部分將更加「圓滑」，另外，除採用「水滴設計」之外，iPhone 8將搭載OLED面板，不過是採用平面螢幕、而非曲面螢幕，且iPhone 8將具備和iPhone 7系列同等級的防水性能，支援無線充電。,2
2017-04-04T22:22:00.000Z,向來報導蘋果相關情報具有高準確度的日本科技部落格Macotakara 3月8日報導，除了iPhone 7s、iPhone 7s Plua之外，蘋果還計畫在今年推出一款定位為高階款的新iPhone、該款產品可能將稱為「iPhone Edition」，而「iPhone Edition」雖會和iPhone 7s/iPhone 7s Plus同步於9月亮相，不過其實際開賣時間恐會延後很多。,4
2017-04-04T22:22:00.000Z,＊編者按：本文僅供參考之用，並不構成要約、招攬或邀請、誘使、任何不論種類或形式之申述或訂立任何建議及推薦，讀者務請運用個人獨立思考能力，自行作出投資決定，如因相關建議招致損失，概與《精實財經媒體》、編者及作者無涉。,2
2017-04-06T06:15:00.000Z,各類股盤中跌多漲少，僅造紙類股盤中急速拉抬黑翻紅，上漲0.8%做收。,1
2017-04-06T06:15:00.000Z,簡伯儀認為，短期內仍有攻上萬點的機會，主要是量和價的配合並未失控，而且中小型股3月的營收也還不錯，短期內將處於高檔震盪整理，但是季報來看，必須要注意匯損的問題。,1
2017-04-06T03:13:00.000Z,今、明兩天川習會登場，在不談及關稅議題下，市場疑慮化解大半。,-2
2017-04-06T02:25:00.000Z,"2.事實發生日:106/4/1~106/4/53.交易數量、每單位價格及交易總金額:不適用；不適用；可展期存款(渣打) CNY1,100 佰萬元、美元利率掛鉤86天人民幣結構性存款（星展）CNY1,500 佰萬元和美元LIBOR區間日累計人民幣(花旗) CNY700 佰萬元；到期日：民國106年06月30日。",-1
2017-04-06T02:25:00.000Z,5.交易相對人為關係人者，並應公告選定關係人為交易對象之原因及前次移轉之所有人、前次移轉之所有人與公司及交易相對人間相互之關係、前次移轉日期及移轉金額:不適用。,-2
2017-04-06T02:25:00.000Z,6.交易標的最近五年內所有權人曾為公司之關係人者，尚應公告關係人之取得及處分日期、價格及交易當時與公司之關係:不適用。,0
2017-04-06T02:25:00.000Z,7.本次係處分債權之相關事項（含處分之債權附隨擔保品種類、處分債權如有屬對關係人債權者尚需公告關係人名稱及本次處分該關係人之債權帳面金額:不適用。,-1
2017-04-06T02:25:00.000Z,8.處分利益（或損失）（取得有價證券者不適用）（原遞延者應列表說明認列情形）:不適用。,0
2017-04-06T02:25:00.000Z,9.交付或付款條件（含付款期間及金額）、契約限制條款及其他重要約定事項:一次付清；無。,1
2017-04-06T02:25:00.000Z,10.本次交易之決定方式、價格決定之參考依據及決策單位:依市場利率價格計算；財務處。,1
2017-04-06T02:25:00.000Z,"11.迄目前為止，累積持有本交易證券（含本次交易）之數量、金額、持股比例及權利受限情形（如質押情形）:不適用；可展期存款(渣打) CNY1,100 佰萬元、美元利率掛鉤86天人民幣結構性存款（星展）CNY1,500 佰萬元和美元LIBOR區間日累計人民幣(花旗) CNY700 佰萬元；不適用；無。",0
2017-04-06T02:25:00.000Z,"12.迄目前為止，依「公開發行公司取得或處分資產處理準則」第三條所列之有價證券投資（含本次交易）占公司最近期財務報表中總資產及歸屬於母公司業主之權益之比例暨最近期財務報表中營運資金數額（註二）:0.79%；1.05%；NT$135,604 佰萬元。",4
2017-04-06T02:25:00.000Z,13.經紀人及經紀費用:無。,0
2017-04-06T02:25:00.000Z,14.取得或處分之具體目的或用途:固定收益投資。,2
2017-04-06T02:25:00.000Z,15.本次交易表示異議董事之意見:不適用。,-2
2017-04-06T02:25:00.000Z,16.本次交易為關係人交易:否17.董事會通過日期:不適用。,0
2017-04-06T02:25:00.000Z,18.監察人承認日期:不適用。,0
2017-04-05T23:43:00.000Z,　不過，首季新台幣匯率強升，上周五（31日）新台幣匯率收在30.336兌1美元，雖然貶值2.1分，但上季新台幣匯率總結共強升1.943元，升幅達到6.4％，遠高於台積原估的32元兌1美元。,0
2017-04-07T04:38:00.000Z,Switch於3月3日開賣。,0
2017-04-07T04:38:00.000Z,"根據嘉實XQ全球贏家系統報價顯示，截至台北時間7日上午12點15分為止，任天堂大跌2.9%至25,605日圓。",0
2017-04-07T04:38:00.000Z,日本媒體報導，Switch初期銷售表現遜色(輸給Wii U)，主要是受供應不足、以及開賣時間不是落在年末旺季所致，不過市場對Switch的期待仍舊非常大。,-2
2017-04-07T04:38:00.000Z,報導指出，就開賣第一年的產量來看，Switch將可媲美現行任天堂最暢銷機種Wii。,1
2017-04-07T04:38:00.000Z,＊編者按：本文僅供參考之用，並不構成要約、招攬或邀請、誘使、任何不論種類或形式之申述或訂立任何建議及推薦，讀者務請運用個人獨立思考能力，自行作出投資決定，如因相關建議招致損失，概與《精實財經媒體》、編者及作者無涉。,2
2017-04-07T04:03:00.000Z,一個月後，模組等其他重要零件也將分階段啟動研發程序。,1
2017-04-07T04:03:00.000Z,Note 7出包，主要原因之一就是倉促趕工，導致電池品質欠佳。,-1
2017-04-07T04:03:00.000Z,報導稱，目前為時過早，無從得知S9規格，不過S9尺寸可能沿用S8，同樣有兩款，各為5.8吋、6.2吋。,-1
2017-04-07T04:03:00.000Z,S8原本也打算搭載此一功能，不過最後無法克服技術問題，被迫放棄。,-4
2017-04-07T04:03:00.000Z,原本5.8吋的S8和6.2吋的S8 Plus產出比重為60:40，如今調整為55:45。,0
2017-04-07T04:03:00.000Z,另外，從設計草圖可知，Note 8將具備雙側邊曲面螢幕、廢除物理性Home鍵，指紋辨識感測器可能將和預計3月底亮相的Galaxy S8系列機種一樣位於機身背面；Note 8支援虹膜辨識，機身底部仍有3.5mm耳機孔、支援USB Type-C，且音量鍵下方似乎有人工智慧助理Bixby的按鈕。,3
2017-04-07T04:03:00.000Z,＊編者按：本文僅供參考之用，並不構成要約、招攬或邀請、誘使、任何不論種類或形式之申述或訂立任何建議及推薦，讀者務請運用個人獨立思考能力，自行作出投資決定，如因相關建議招致損失，概與《精實財經媒體》、編者及作者無涉。,2
2017-04-07T03:55:00.000Z,由於營收都以美元計價，新台幣每升值1%，對台積公司營收將造成同等幅度之影響，並影響毛利率0.4個百分點。,0
2017-04-07T03:55:00.000Z,整體來看，今年將先蹲後跳，第三季營收將明顯跳升，全年營收預估成長5~10%再創新紀錄。,4
2017-04-07T02:08:00.000Z,真正的市場拐點，應該是在利多消息都陸續實現，但股價卻呈現停滯，此時才是出場時機。,3
2017-04-07T02:08:00.000Z,在拐點未出現前，瑞銀證仍給予iPhone相關科技股「加碼」評等。,2
2017-04-07T02:08:00.000Z,二、政策面改善投資情緒。,3
2017-04-07T02:08:00.000Z,三、新蘋果的預期效果。,0
2017-04-07T02:08:00.000Z,在產業別上，科技股占FINI買超大部份，約為44億美元，而防禦型的電信股則是遭到淨賣超約10億美元。,0
2017-04-07T01:57:00.000Z,J.D. Power進行此一調查有六年之久，這是微軟首次登上榜首。,1
2017-04-07T01:57:00.000Z,微軟Surface在連網功能、官方配件、預設應用程式三大項目，表現最為突出。,1
2017-04-07T01:57:00.000Z,另外，平板吸引力、用料品質、平板尺寸方面，顧客對Surface偏好也勝過iPad。,3
2017-04-07T01:57:00.000Z,消費者喜歡Surface的一大原因是微軟平板較為創新，51%微軟用戶認為，他們領先同儕，率先使用新科技產品。,4
2017-04-07T01:57:00.000Z,也就是說，想用最新科技者，會選擇Surface、而非iPad。,0
2017-04-07T01:57:00.000Z,不只如此，Surface有觸控筆和鍵盤等配件，又支援Office程式，工作時也能使用，深獲好評。,1
2017-04-07T01:57:00.000Z,J.D. Power主管Jeff Conklin說，Surface平台擴大了平板的用途，為消費者滿意度立下標竿。,3
2017-04-07T01:57:00.000Z,Surface功能不輸筆電，又能當一般平板使用，此種多樣性讓商品極具吸引力、創造成功。,4
2017-04-07T01:57:00.000Z,儘管iPad銷售節節下滑，目前蘋果仍是平板電腦王者，但是若不趕快加把勁，部分市佔可能會遭微軟瓜分。,-2
2017-04-07T01:57:00.000Z,＊編者按：本文僅供參考之用，並不構成要約、招攬或邀請、誘使、任何不論種類或形式之申述或訂立任何建議及推薦，讀者務請運用個人獨立思考能力，自行作出投資決定，如因相關建議招致損失，概與《精實財經媒體》、編者及作者無涉。,2
2017-04-07T00:58:00.000Z,IHSMarkit公布歐元區3月服務業採購經理指數自56上升至56.4；市場觀望美、中峰會，週三西歐三大指數漲跌互見。,2
2017-04-10T06:47:00.000Z,　終場集中市場收盤小漲9.17點，收於9882.54點，成交量萎縮至852.46億元；店頭市場收盤上漲0.04點，收於136.6點，成交量為302.09億元。,0
2017-04-10T02:53:00.000Z,　截至10點42分，集中市場翻紅上漲0.15點、為9873.52點，今日估量縮至近850億元。,1
2017-04-10T02:53:00.000Z,店頭市場小跌0.03點、為136.53點。,-1
2017-04-10T02:53:00.000Z,生技股開低走低逾1％，表現最為弱勢，航運股同步走跌近1％，營建、貿易百貨等亦下跌約0.5％。,-5
2017-04-10T00:55:00.000Z,2.事實發生日:106/4/7~106/4/73.交易單位數量（如ＸＸ平方公尺，折合ＸＸ坪）、每單位價格及交易總金額:交易數量：一批；交易總金額：NT$724 佰萬元 (上述事實發生日期間之累計訂單總金額)4.交易相對人及其與公司之關係（交易相對人如屬自然人，且非公司之關係人者，得免揭露其姓名）:Fonda Technology Corp. ；與公司關係：無。,0
2017-04-10T00:55:00.000Z,5.交易相對人為關係人者，並應公告選定關係人為交易對象之原因及前次移轉之所有人、前次移轉之所有人與公司及交易相對人間相互之關係、前次移轉日期及移轉金額:不適用。,-2
2017-04-10T00:55:00.000Z,6.交易標的最近五年內所有權人曾為公司之關係人者，尚應公告關係人之取得及處分日期、價格及交易當時與公司之關係:不適用。,0
2017-04-10T00:55:00.000Z,7.預計處分利益（或損失）（取得資產者不適用）（遞延者應列表說明認列情形）:不適用。,0
2017-04-10T00:55:00.000Z,8.交付或付款條件（含付款期間及金額）、契約限制條款及其他重要約定事項:出貨後三十天電匯90%貨款，驗收後三十天電匯10%貨款。,0
2017-04-10T00:55:00.000Z,9.本次交易之決定方式（如招標、比價或議價）、價格決定之參考依據及決策單位:比價及議價，依據各家競價廠商提供之報價單做比價、議價後，由使用單位及採購單位?得權責主管同意後決定。,2
2017-04-10T00:55:00.000Z,10.專業估價者事務所或公司名稱及其估價金額:不適用。,-1
2017-04-10T00:55:00.000Z,11.專業估價師姓名:不適用。,-1
2017-04-10T00:55:00.000Z,12.專業估價師開業證書字號:不適用。,-1
2017-04-10T00:55:00.000Z,13.估價報告是否為限定價格、特定價格或特殊價格:否14.是否尚未取得估價報告:是15.尚未取得估價報告之原因:不適用。,-3
2017-04-10T00:55:00.000Z,17.經紀人及經紀費用:無。,0
2017-04-10T00:55:00.000Z,18.取得或處分之具體目的或用途:供生產用。,1
2017-04-10T00:55:00.000Z,19.本次交易表示異議之董事之意見:不適用。,-2
2017-04-10T00:55:00.000Z,20.本次交易為關係人交易:否21.董事會通過日期:不適用。,0
2017-04-10T00:55:00.000Z,22.監察人承認或審計委員會同意日期:不適用。,1
2017-04-10T00:55:00.000Z,23.本次交易係向關係人取得不動產:否24.依「公開發行公司取得或處分資產處理準則」第十五條規定評估之價格:不適用25.依前項評估之價格較交易價格為低者，依同準則第十六條規定評估之價格:不適用26.其他敘明事項:無。,1
2017-04-10T00:55:00.000Z,2.事實發生日:105/12/23~106/4/73.交易單位數量（如ＸＸ平方公尺，折合ＸＸ坪）、每單位價格及交易總金額:交易數量：一批；交易總金額：NT$560 佰萬元。,0
2017-04-10T00:55:00.000Z,(依上述事實發生日期間之累計訂單總金額)4.交易相對人及其與公司之關係（交易相對人如屬自然人，且非公司之關係人者，得免揭露其姓名）:ASM Japan K. K.；與公司關係：無。,0
2017-04-10T00:55:00.000Z,5.交易相對人為關係人者，並應公告選定關係人為交易對象之原因及前次移轉之所有人、前次移轉之所有人與公司及交易相對人間相互之關係、前次移轉日期及移轉金額:不適用。,-2
2017-04-10T00:55:00.000Z,6.交易標的最近五年內所有權人曾為公司之關係人者，尚應公告關係人之取得及處分日期、價格及交易當時與公司之關係:不適用。,0
2017-04-10T00:55:00.000Z,7.預計處分利益（或損失）（取得資產者不適用）（遞延者應列表說明認列情形）:不適用。,0
2017-04-10T00:55:00.000Z,8.交付或付款條件（含付款期間及金額）、契約限制條款及其他重要約定事項:出貨後三十天電匯90%貨款，驗收後三十天電匯10%貨款。,0
2017-04-10T00:55:00.000Z,9.本次交易之決定方式（如招標、比價或議價）、價格決定之參考依據及決策單位:比價及議價，依據各家競價廠商提供之報價單做比價、議價後，由使用單位及採購單位?得權責主管同意後決定。,2
2017-04-10T00:55:00.000Z,10.專業估價者事務所或公司名稱及其估價金額:不適用。,-1
2017-04-10T00:55:00.000Z,11.專業估價師姓名:不適用。,-1
2017-04-10T00:55:00.000Z,12.專業估價師開業證書字號:不適用。,-1
2017-04-10T00:55:00.000Z,13.估價報告是否為限定價格、特定價格或特殊價格:否14.是否尚未取得估價報告:是15.尚未取得估價報告之原因:不適用。,-3
2017-04-10T00:55:00.000Z,17.經紀人及經紀費用:無。,0
2017-04-10T00:55:00.000Z,18.取得或處分之具體目的或用途:供生產用。,1
2017-04-10T00:55:00.000Z,19.本次交易表示異議之董事之意見:不適用。,-2
2017-04-10T00:55:00.000Z,20.本次交易為關係人交易:否21.董事會通過日期:不適用。,0
2017-04-10T00:55:00.000Z,22.監察人承認或審計委員會同意日期:不適用。,1
2017-04-10T00:55:00.000Z,23.本次交易係向關係人取得不動產:否24.依「公開發行公司取得或處分資產處理準則」第十五條規定評估之價格:不適用25.依前項評估之價格較交易價格為低者，依同準則第十六條規定評估之價格:不適用26.其他敘明事項:無。,1
2017-04-11T00:44:00.000Z,昨天3月營收完全公布後，接下來至5月中前就是要來反應第一季財報因匯損衝擊的短期利空；加上上市融券僅剩20.6萬張，融券回補軋空行情已近尾聲，故對後市看法不變，原則上5月中前為區間整理盤，應有機會再測一次季線9700~9750上下。,0
2017-04-12T07:01:00.000Z,操作上建議不追高、中期逢低擇優作多，以蘋概股和漲價概念股為盤面指標，選股可偏向匯損壓力較小的中小型業績股和高殖利率個股。,1
2017-04-12T06:36:00.000Z,"道瓊工業指數收盤小跌6.72點，為20,651.30點。",-1
2017-04-12T06:14:00.000Z,加權股價指數終場下跌14.74點、跌幅0.15%、收在9817.68點、成交值新台幣886.29億元，5日線、10日線、月線糾結在9850點至9870點之間形成短線壓力，加上跌破月線9869點，多頭需盡快站回月線，重掌多頭格局。,-4
2017-04-12T02:08:00.000Z,S8系列機種將在4月21日正式開賣，並已於4月7日在南韓市場開放預購、預購截至日為4月17日，預購的買家最快應可在4月18日收到產品。,2
2017-04-12T02:08:00.000Z,朝鮮日報日文版12日報導，S8系列機種於7日在南韓開放預購來、4天(4月7-10日)的預購訂單數量已達62萬支，其中128GB S8+更是已將原先備妥的15萬支庫存全數售罄。,1
2017-04-12T02:08:00.000Z,去年8月開賣的Galaxy Note 7於南韓市場開放預購後、13天的累計預購訂單為40萬支，S8的預購表現遠勝Note 7。,1
2017-04-12T02:08:00.000Z,原本5.8吋的S8和6.2吋的S8 Plus產出比重為60:40，如今調整為55:45。,0
2017-04-12T02:08:00.000Z,＊編者按：本文僅供參考之用，並不構成要約、招攬或邀請、誘使、任何不論種類或形式之申述或訂立任何建議及推薦，讀者務請運用個人獨立思考能力，自行作出投資決定，如因相關建議招致損失，概與《精實財經媒體》、編者及作者無涉。,2
2017-04-12T01:49:00.000Z,"道瓊工業指數跌6.72點，為20,651.30點。",-1
2017-04-12T01:49:00.000Z,"標準普爾500指數跌3.38點，為2,353.78點。",-1
2017-04-12T01:49:00.000Z,"那斯達克指數跌14.15點或0.24%，為5,866.77點。",-1
2017-04-12T00:49:00.000Z,PhoneArena、巴倫(Barronˋs)11日報導，今年是iPhone問世十周年，市場熱烈期待下半年問世的「iPhone 8」將有3D感測。,3
2017-04-12T00:49:00.000Z,凱基投顧郭明錤盛讚，3D感測是革命性技術。,1
2017-04-12T00:49:00.000Z,原本眾人認為，3D感測將位於iPhone 8前鏡頭旁；明年會進一步擴大使用，改設於主相機旁，iPhone全機種都會採用，未來iPhone無須雙鏡頭就能做出景深效果。,2
2017-04-12T00:49:00.000Z,他與信利(Truly Holdings)營運長James Wong等供應鏈談話後，做出以上結論。,0
2017-04-12T00:49:00.000Z,信利是多家智慧機業者的組裝廠。,2
2017-04-12T00:49:00.000Z,Gill表示，信利透露，產品組裝可能延誤，不認為iPhone 8會有3D感測，也許要到2018年下半亮相的iPhone 8s才會搭載。,-2
2017-04-12T00:49:00.000Z,此外，Gill警告，華為、Oppo、Vivo今年銷售難達目標，智慧機零組件有生產過剩的憂慮。,-2
2017-04-12T00:49:00.000Z,這此之前，3D感測受到各方熱烈討論。,1
2017-04-12T00:49:00.000Z,估計3D感測模組將位於自拍鏡頭旁邊，用於臉部辨識。,0
2017-04-12T00:49:00.000Z,報告表示，3D感測模組包含光源(雷射或遠紅外線LED)、偵測光線反射的影像感測器、影像處理IC。,0
2017-04-12T00:49:00.000Z,3D感測模組也許交給LG Innotek組裝，均價和毛利與智慧機相機模組相當。,2
